"id","user_id","wallet_address","yap_score","categories","category_percentages","price_range","created_at","updated_at","referral_code","echoPoints","campaign_milestone","bot_chat_id","telegram_username"
"dnc3zmz87ju8cc78rzmum","nj3kFeHMBCpcGAAV0M6CB0bI49qtvpjs","0xB94d92d8c497EFa6FcD672dae00Aedf6651C7Beq","0.8694808521295734","{defi}","{10,20,30,0,40}","{-1,0.0869,-1}","2025-06-12 13:39:12.00795","2025-06-12 13:39:12.00795",NULL,"0",0,NULL,NULL
"bcmilxqpqhkzihkfmupbd","VCRQYpaptBBFF8wppW2FgovUX3IK2tpr","0x3adace54332442d5ebfbb7fa488aad20ab7f11b9","2.221269430184722","{nft,""social fi"",defi,ai}","{0,20,0,10,70}","{-1,0.2221,-1}","2025-07-09 17:49:37.820151","2025-07-09 17:49:37.820151","WZ74FSUQRP","0",0,NULL,NULL
"z5fkw0zs9rdj2m8ygiqmc","9aMZgfwJUSuvuoK6mymIQCIBbCUuMvk7","0x5A92F2E384b0C497Aac52B5238F1DD63366Fe784","25.033036057565464","{ai,zk,""social fi"",defi,nft}","{1,10,22,1,66}","{-1,2.5033,-1}","2025-04-21 07:40:32.354284","2025-04-21 07:40:32.354284","MH828TZUP4","100",0,NULL,NULL
"2srupopzmkom8nhol2mx9","TqNCfnjYfA3hxIjwBLx2iZ5Way8nrcuw","0x1f30a735d2c563987fa3cb78db3c019fd6fee5f4","2.5520364940219946","{ai,""social fi"",defi}","{0,20,0,10,70}","{-1,0.2552,-1}","2025-06-29 07:44:52.22999","2025-06-29 07:44:52.22999","WKJ9S8B49L","100",0,NULL,NULL
"iik9oblqzv88vyjpvbmwq","oXXo0A8n7s8CnayotaustHywPQHFSKm1","0x669019f0c78cc06c3a2d18b632435ab667123781","360.55563873553507","{zk,AI,DeFi,NFT,""Social Fi""}","{0,1,0,1,98}","{-1,90.1389,-1}","2025-04-25 08:17:05.189217","2025-04-25 08:17:05.189217",NULL,"0",0,NULL,NULL
"ejd6f1n5f3a0dmaeld0fw","8sFQhiwaoQAY2BznwZjkZVnjtkKQK2VW","0x1585dF85C1382612829ab7097834B30f60bD4455","8.459578155067758","{ai,defi,""social fi""}","{0,20,0,10,70}","{-1,0.846,-1}","2025-06-04 08:18:17.623686","2025-06-04 08:18:17.623686",NULL,"0",0,NULL,NULL
"rf1b7me1u1k56ng6u3cgg","Tw053lBZYyGUAHTaENuUCeYJuiJzPI6S","0xe535d4a7226ee00a9589073d4ec17c2aa49557de","4.201836529947274","{ai,defi,""social fi""}","{0,20,0,10,70}","{-1,0.4202,-1}","2025-05-11 08:22:12.398968","2025-05-11 08:22:12.398968","4KXMUPCVY5","100",0,NULL,NULL
"q58pj2v4xbsllq411pttw","aSkb2yTtzyGCcxOq5c3eu8ZR4CxD6VlD","0xe8bd131f466d1b7e60db89883d6eb891170fd067","0.9292343034598478","{ai,""social fi"",defi,zk,nft}","{0,20,0,10,70}","{-1,0.0929,-1}","2025-07-01 08:56:39.018315","2025-07-01 08:56:39.018315",NULL,"0",0,NULL,NULL
"ymidpyqgg24vnhwkkgpyz","ts9NK4DEcCWGHQ9i3dDb8I401laVEoMM","0xc84e602ed576c8a7d8eddf32e1d4600b3f223002","29.405115844163788","{""social fi"",nft,defi,ai,zk}","{0,20,0,10,70}","{-1,2.9405,-1}","2025-05-18 14:19:52.416497","2025-05-18 14:19:52.416497",NULL,"0",0,NULL,NULL
